Auto_Patient1_1vs4	Auto_Patient1_4vs8	Auto_Patient1_8vs11	Auto_Patient1_11vs14	Auto_Patient2_1vs4	Auto_Patient2_4vs8	Auto_Patient2_8vs11	Auto_Patient2_11vs14	Auto_Patient3_1vs4	Auto_Patient3_4vs8	Auto_Patient3_8vs11	Auto_Patient3_11vs14	Mono_Patient1_1vs4	Mono_Patient1_4vs8	Mono_Patient1_8vs11	Mono_Patient1_11vs14	Mono_Patient2_1vs4	Mono_Patient2_4vs8	Mono_Patient2_8vs11	Mono_Patient2_11vs14	Mono_Patient3_1vs4	Mono_Patient3_4vs8	Mono_Patient3_8vs11	Mono_Patient3_11vs14
FOXO4	0	0	0	0	0	2.03220400653821	0	0	0	0	2.02124069069049	0	0	0	0	0	0	0	0	0	0	0	0	0
HEY2	0	0	0	0	0	2.39789327807762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KLF1	0	0	0	0	0	2.3770395246501	0	0	0	0	0	0	0	0	0	0	-2.01698715399428	0	0	0	0	0	0	0
KLF3	0	0	0	0	0	2.04382610354596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAX	0	0	0	0	0	2.27372826491528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.35461275590364
MEIS2	0	0	0	0	0	-1.99824913995553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MXI1	0	0	0	0	0	2.03149507065983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NFIA	0	0	0	0	0	-1.963896292388	0	0	0	0	0	0	0	0	0	0	0	-1.96116668010247	0	0	0	0	0	0
NUPR1	0	0	0	0	0	-1.96355498767037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RELB	0	0	0	0	0	-1.96842712879294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SALL3	0	0	0	0	0	-2.18335157671442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SMAD2	0	0	0	0	0	2.232478212077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TBX1	0	0	0	0	0	2.55735166294885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TP53	0	0	0	0	0	1.96327938207671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.97308451654417	0	0	0
CREB5	0	0	0	0	0	0	2.03536517901619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HOPX	0	0	0	0	0	0	2.28905336428286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HOXB7	0	0	0	0	0	0	2.03605851309249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KMT2B	0	0	0	0	0	0	2.17707926862833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.69250228429607	0	0
MYBL2	0	0	0	0	0	0	1.96281483334505	0	0	0	0	0	-2.25954134784642	0	0	2.00515483774555	0	0	0	0	0	0	0	0
NAB2	0	0	0	0	0	0	-2.51809455503038	0	0	0	0	0	0	0	0	0	0	0	-2.05434796940757	0	0	0	0	0
NR4A1	0	0	0	0	0	0	-2.12292150172584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SMARCA1	0	0	0	0	0	0	2.04340077812042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZHX2	0	0	0	0	0	0	2.303615096424	0	0	0	0	0	0	0	0	0	0	0	0	0	2.28330609159719	0	0	0
FOXJ1	0	0	0	0	0	0	0	0	0	0	0	-2.13059902949046	0	0	0	0	0	0	0	0	0	0	0	0
HIC1	0	0	0	0	0	0	0	0	0	0	0	-2.15295550484088	0	0	0	0	0	0	0	0	0	0	0	0
KCNIP3	0	0	0	0	0	0	0	0	0	0	0	-2.09066463706087	0	0	0	0	0	0	0	0	0	0	0	0
SOX17	0	0	0	0	0	0	0	0	0	0	0	1.96083187258872	0	0	0	0	0	0	0	0	0	0	0	0
ETV2	0	0	0	0	0	0	0	0	1.98951679279324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.40716694382324
FGF2	0	0	0	0	0	0	0	0	-2.41779196769936	-2.61019433742766	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HDGF	0	0	0	0	0	0	0	0	-2.29046722826474	0	0	0	0	0	0	0	0	-2.03321052074494	0	0	0	0	0	0
HSF4	0	0	0	0	0	0	0	0	-2.30468474924122	0	0	0	0	0	0	0	0	-1.97236748154282	0	0	-2.59570527891907	2.02789352589046	0	0
HTATIP2	0	0	0	0	0	0	0	0	2.22006387147943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KLF15	0	0	0	0	0	0	0	0	-2.0389513871524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KLF6	0	0	0	0	0	0	0	0	-2.21271197826699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MLXIP	0	0	0	0	0	0	0	0	-2.6649928457318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TBXT	0	0	0	0	0	0	0	0	-2.40844986162416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF202	0	0	0	0	0	0	0	0	2.23858899386607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF354C	0	0	0	0	0	0	0	0	2.03710723049673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEBPZ	0	0	0	0	0	0	0	0	0	1.96064595076064	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ELF1	0	0	0	0	0	0	0	0	0	2.3215759934665	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KLF9	0	0	0	0	0	0	0	0	0	-1.96165736266385	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MITF	0	0	0	0	0	0	0	0	0	2.26256644388846	0	0	0	0	0	0	0	0	0	0	2.198298309619	0	0	0
NEUROD1	0	0	0	0	0	0	0	0	0	-2.07645999065974	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NFE2	0	0	0	0	0	0	0	0	0	2.01050382229498	0	0	0	0	0	0	0	0	0	0	0	0	0	2.09695191751694
NFE2L3	0	0	0	0	0	0	0	0	0	1.96430171487078	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTX2	0	0	0	0	0	0	0	0	0	2.12523782766255	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SOX5	0	0	0	0	0	0	0	0	0	2.19884531985731	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF91	0	0	0	0	0	0	0	0	0	-2.07367902223888	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARID3A	0	0	0	0	0	0	0	0	0	0	2.02392502446193	0	0	0	0	0	0	0	0	0	-2.07327286464924	0	0	0
E2F1	0	0	0	0	0	0	0	0	0	0	2.19722271997416	0	0	0	0	0	0	0	0	0	0	0	0	0
E2F2	0	0	0	0	0	0	0	0	0	0	1.98770358791116	0	0	0	0	0	0	0	0	0	0	0	0	0
E2F3	0	0	0	0	0	0	0	0	0	0	2.16246974181213	0	0	0	0	0	0	0	0	0	-2.02808518588396	0	0	0
PLAGL1	0	0	0	0	0	0	0	0	0	0	-2.19175216573541	0	0	0	0	0	0	0	0	0	0	0	0	0
TFDP1	0	0	0	0	0	0	0	0	0	0	2.44195805494713	0	0	0	0	0	0	0	0	0	-2.54935970727727	0	0	0
TFDP2	0	0	0	0	0	0	0	0	0	0	1.98544797747894	0	0	0	0	0	0	0	0	0	0	0	0	0
BTG2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.04803458594362	0	0	0	0	0	0	0	0
FEV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.06922382856348	0	0	0	0	0	0	0	0
NFE2L2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0237839956282	0	0	0	0	0	0	0	0
NR5A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.99259466501253	0	0	0	0	0	0	0	0
PLAGL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.18925665608857	0	0	0	0	0	0	0	0
SFPQ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.03884002754695	0	0	0	0	0	0	0	0
SOX11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.12606298250522	0	0	0	0	0	0	0	0
SRF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.54050365500524	0	0	0	0	0	0	0	0
TCF12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.10214237080726	0	0	0	0	0	0	0	0
AHR	0	0	0	0	0	0	0	0	0	0	0	0	-1.96309223416711	0	0	0	0	0	0	0	0	0	0	0
ATF2	0	0	0	0	0	0	0	0	0	0	0	0	-1.97753595785366	0	0	0	0	0	0	0	0	0	0	0
ATF3	0	0	0	0	0	0	0	0	0	0	0	0	-2.2320241451914	0	0	0	0	-2.15779760369688	0	0	0	0	0	0
CEBPA	0	0	0	0	0	0	0	0	0	0	0	0	-2.48770508178757	0	0	0	0	0	0	0	0	0	0	0
CEBPD	0	0	0	0	0	0	0	0	0	0	0	0	-2.37687769957435	0	0	0	0	0	0	0	0	0	0	0
CREB3	0	0	0	0	0	0	0	0	0	0	0	0	-2.18916204075522	0	0	0	0	0	0	0	0	0	0	0
ELF4	0	0	0	0	0	0	0	0	0	0	0	0	2.56109117336729	0	0	0	0	0	0	0	0	0	0	0
GFI1B	0	0	0	0	0	0	0	0	0	0	0	0	-2.73247443237114	0	0	0	0	0	0	0	0	0	0	0
HLX	0	0	0	0	0	0	0	0	0	0	0	0	1.96954188074568	0	0	0	0	0	0	0	0	0	0	0
HOXA1	0	0	0	0	0	0	0	0	0	0	0	0	-2.01428259946771	0	0	0	0	0	0	0	0	0	0	0
MEF2A	0	0	0	0	0	0	0	0	0	0	0	0	2.33296780285548	0	0	0	0	0	0	0	0	0	0	0
MYBL1	0	0	0	0	0	0	0	0	0	0	0	0	-2.21942412555093	-1.96970909727458	0	0	0	0	0	0	0	0	0	0
POU2AF1	0	0	0	0	0	0	0	0	0	0	0	0	-2.23679214259844	0	0	0	-2.06615619752892	0	0	0	0	0	0	0
POU2F2	0	0	0	0	0	0	0	0	0	0	0	0	-2.34181307439504	0	0	0	0	0	0	0	0	0	0	0
POU4F1	0	0	0	0	0	0	0	0	0	0	0	0	-2.02966934730872	0	0	0	0	0	0	0	0	0	0	0
SPDEF	0	0	0	0	0	0	0	0	0	0	0	0	-2.11689465166454	0	0	0	0	0	0	0	0	0	0	-2.37924989183797
TOX3	0	0	0	0	0	0	0	0	0	0	0	0	-2.61561392715537	-2.12197321106831	0	0	0	0	0	0	0	0	0	0
VDR	0	0	0	0	0	0	0	0	0	0	0	0	2.04788263973064	0	0	0	0	0	0	0	0	0	0	0
CREBZF	0	0	0	0	0	0	0	0	0	0	0	0	0	2.06940068508208	0	0	0	0	0	0	0	0	0	0
HOXD13	0	0	0	0	0	0	0	0	0	0	0	0	0	2.15534288013237	0	0	0	0	0	0	0	0	0	0
MLXIPL	0	0	0	0	0	0	0	0	0	0	0	0	0	2.05368923051029	0	0	0	0	0	0	-2.11129815864347	0	0	0
NOTCH1	0	0	0	0	0	0	0	0	0	0	0	0	0	2.09939870880524	0	0	0	0	0	0	0	0	0	0
SIRT1	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.06232497282098	0	0	0	0	0	0	2.55010491833411	0	0	0
TWIST2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.99808124967848	0	0	0	0	0	0	0	0	0
ZFPM2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.01073127676137	0	0	0	0	0	0	0	0	0
ENO1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.04859957340621	0	0	0	0
BATF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.29904327432204	0	0	0	0	0	0	0
CTCFL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.76093884070336	0	0	0	0	0	0	0
ETV6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.07712033577054	0	0	0	0	0	0	0
FOXI1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5421135761822	0	0	0	0	0	0	0
HDAC7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.17051624749067	2.10134312257802	0	0	-2.38403740953195	0	0	0
HOXD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.01604075660291	0	0	0	0	0	0	0
IKZF1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.04728369927975	0	0	0	0	0	0	0
POU2F1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.03751413680356	0	0	0	0	0	0	0
PRDM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.34707577980736	0	0	0	0	0	0	0
PTF1A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.13539499663411	0	0	0	0	0	0	0
RREB1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.2896299484681	0	0	0	0	0	0	0
ZBTB4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.64858591407679	0	0	0	0	0	0	0
ASCL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.01398620634	0	0	0	0	0	0
ATF5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.06803594600892	0	0	0	0	0	0
E2F7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.31980947824192	0	0	0	0	0	0
GATA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.25651002847997	0	0	0	0	0	0
NFKB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.12313995289903	0	0	0	0	0	0
ZBTB33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.07655068059001	0	0	0	0	0	0
ZNF384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.48928118256039	0	0	0	0	0	0
RARA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.06024590909186	0	0	0	0	0
TFDP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.06763288890813	0	0	0	0	0
EGR4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.32758067688128
JDP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.08269774010029
MAFB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.01025815762521
RUNX1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.11176537498619
ARNT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00083126163265	0	0	0
FOXO1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.06624529828357	0	0	0
GTF3A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.36224219875289	0	0	0
HCFC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.35790543346877	0	2.07007997814134	0
HIF1A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.00493191321546	0	0	0
LHX8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.23089104933166	0	0	0
MECP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.15800266399948	0	0	0
NEUROG2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.14208576368065	0	0	0
PARK7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.12632122930933	0	0	0
SOX6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.8361120340147	0	0	0
TBPL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.7643986694603	0	0	0
CREB1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.16185771045875	0	0
DBP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.06401665450294	0	0
NCOA2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.11762158444597	0	0
RB1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.75908829826073	0	0
RBPJ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.22156674488558	0	0
FOXM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.99425382431096	0
NFIL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.96993457846547	0
NKX2-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.10891624646571	0
PLAG1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.12828517410285	0
