─ Session info ──────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
 setting  value
 version  R version 4.4.2 (2024-10-31)
 os       Ubuntu 24.04.2 LTS
 system   x86_64, linux-gnu
 ui       RStudio
 language en_US:en
 collate  en_US.UTF-8
 ctype    en_US.UTF-8
 tz       Europe/Paris
 date     2026-01-16
 rstudio  2024.12.0+467 Kousa Dogwood (desktop)
 pandoc   3.2 @ /usr/lib/rstudio/resources/app/bin/quarto/bin/tools/x86_64/ (via rmarkdown)
 quarto   1.5.57 @ /usr/lib/rstudio/resources/app/bin/quarto/bin/quarto

─ Packages ──────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
 package              * version   date (UTC) lib source
 DelayedArray           0.32.0    2024-10-29 [1] Bioconductor 3.20 (R 4.4.2)
 dendextend           * 1.19.0    2024-11-15 [1] CRAN (R 4.4.2)
 DEoptimR               1.1-3-1   2024-11-23 [1] CRAN (R 4.4.2)
 DESeq2               * 1.46.0    2024-10-29 [1] Bioconductor 3.20 (R 4.4.2)
 digest                 0.6.37    2024-08-19 [1] CRAN (R 4.4.2)
 doParallel           * 1.0.17    2022-02-07 [1] CRAN (R 4.4.2)
 doRNG                * 1.8.6.1   2025-01-13 [1] CRAN (R 4.4.2)
 dorothea             * 1.18.0    2024-10-31 [1] Bioconductor 3.20 (R 4.4.2)
 DOSE                   4.0.1     2025-03-27 [1] Bioconductor 3.20 (R 4.4.2)
 dplyr                * 1.1.4     2023-11-17 [1] CRAN (R 4.4.2)
 DT                     0.33      2024-04-04 [1] CRAN (R 4.4.2)
 e1071                  1.7-16    2024-09-16 [1] CRAN (R 4.4.2)
 edgeR                  4.4.2     2025-01-27 [1] Bioconductor 3.20 (R 4.4.2)
 emmeans                1.10.7    2025-01-31 [1] CRAN (R 4.4.2)
 enrichplot             1.26.6    2025-01-09 [1] Bioconductor 3.20 (R 4.4.2)
 estimability           1.5.1     2024-05-12 [1] CRAN (R 4.4.2)
 evaluate               1.0.3     2025-01-10 [1] CRAN (R 4.4.2)
 factoextra           * 1.0.7     2020-04-01 [1] CRAN (R 4.4.2)
 FactoMineR           * 2.11      2024-04-20 [1] CRAN (R 4.4.2)
 farver                 2.1.2     2024-05-13 [1] CRAN (R 4.4.2)
 fastmap                1.2.0     2024-05-15 [1] CRAN (R 4.4.2)
 fastmatch              1.1-6     2024-12-23 [1] CRAN (R 4.4.2)
 fgsea                  1.32.4    2025-03-20 [1] Bioconductor 3.20 (R 4.4.2)
 flashClust             1.01-2    2012-08-21 [1] CRAN (R 4.4.2)
 forcats              * 1.0.0     2023-01-29 [1] CRAN (R 4.4.2)
 foreach              * 1.5.2     2022-02-02 [1] CRAN (R 4.4.2)
 Formula                1.2-5     2023-02-24 [1] CRAN (R 4.4.2)
 fs                     1.6.5     2024-10-30 [1] CRAN (R 4.4.2)
 genefilter           * 1.88.0    2024-10-29 [1] Bioconductor 3.20 (R 4.4.2)
 generics               0.1.3     2022-07-05 [1] CRAN (R 4.4.2)
 GenomeInfoDb         * 1.42.3    2025-01-27 [1] Bioconductor 3.20 (R 4.4.2)
 GenomeInfoDbData       1.2.13    2025-01-06 [1] Bioconductor
 GenomicRanges        * 1.58.0    2024-10-29 [1] Bioconductor 3.20 (R 4.4.2)
 GetoptLong             1.0.5     2020-12-15 [1] CRAN (R 4.4.2)
 ggfun                  0.2.0     2025-07-15 [1] CRAN (R 4.4.2)
 ggplot2              * 3.5.1     2024-04-23 [1] CRAN (R 4.4.2)
 ggplotify              0.1.3     2025-09-20 [1] CRAN (R 4.4.2)
 ggpubr               * 0.6.0     2023-02-10 [1] CRAN (R 4.4.2)
 ggrepel                0.9.6     2024-09-07 [1] CRAN (R 4.4.2)
 ggsignif               0.6.4     2022-10-13 [1] CRAN (R 4.4.2)
 ggtangle               0.0.8     2025-11-06 [1] CRAN (R 4.4.2)
 ggtree                 3.14.0    2024-10-29 [1] Bioconductor 3.20 (R 4.4.2)
 GlobalOptions          0.1.2     2020-06-10 [1] CRAN (R 4.4.2)
 glue                   1.8.0     2024-09-30 [1] CRAN (R 4.4.2)
 GO.db                  3.20.0    2025-11-24 [1] Bioconductor
 GOSemSim               2.32.0    2024-10-29 [1] Bioconductor 3.20 (R 4.4.2)
 gprofiler2           * 0.2.3     2024-02-23 [1] CRAN (R 4.4.2)
 graph                * 1.84.1    2025-01-02 [1] Bioconductor 3.20 (R 4.4.2)
 gridExtra            * 2.3       2017-09-09 [1] CRAN (R 4.4.2)
 gridGraphics           0.5-1     2020-12-13 [1] CRAN (R 4.4.2)
 GSEABase             * 1.68.0    2024-10-29 [1] Bioconductor 3.20 (R 4.4.2)
 gson                   0.1.0     2023-03-07 [1] CRAN (R 4.4.2)
 GSVA                 * 2.0.5     2025-01-19 [1] Bioconductor 3.20 (R 4.4.2)
 gtable                 0.3.6     2024-10-25 [1] CRAN (R 4.4.2)
 gtools               * 3.9.5     2023-11-20 [1] CRAN (R 4.4.2)
 HDF5Array              1.34.0    2024-10-29 [1] Bioconductor 3.20 (R 4.4.2)
 hms                    1.1.3     2023-03-21 [1] CRAN (R 4.4.2)
 htmltools              0.5.8.1   2024-04-04 [1] CRAN (R 4.4.2)
 htmlwidgets            1.6.4     2023-12-06 [1] CRAN (R 4.4.2)
 httr                   1.4.7     2023-08-15 [1] CRAN (R 4.4.2)
 igraph               * 2.1.4     2025-01-23 [1] CRAN (R 4.4.2)
 IRanges              * 2.40.1    2024-12-05 [1] Bioconductor 3.20 (R 4.4.2)
 irlba                  2.3.5.1   2022-10-03 [1] CRAN (R 4.4.2)
 iterators            * 1.0.14    2022-02-05 [1] CRAN (R 4.4.2)
 jsonlite               1.9.0     2025-02-19 [1] CRAN (R 4.4.2)
 KEGGREST               1.46.0    2024-10-29 [1] Bioconductor 3.20 (R 4.4.2)
 kernlab                0.9-33    2024-08-13 [1] CRAN (R 4.4.2)
 KernSmooth             2.23-26   2025-01-01 [4] CRAN (R 4.4.2)
 knitr                  1.49      2024-11-08 [1] CRAN (R 4.4.2)
 later                  1.4.1     2024-11-27 [1] CRAN (R 4.4.2)
 lattice                0.22-5    2023-10-24 [4] CRAN (R 4.3.1)
 lazyeval               0.2.2     2019-03-15 [1] CRAN (R 4.4.2)
 leaps                  3.2       2024-06-10 [1] CRAN (R 4.4.2)
 lifecycle              1.0.4     2023-11-07 [1] CRAN (R 4.4.2)
 limma                  3.62.2    2025-01-09 [1] Bioconductor 3.20 (R 4.4.2)
 locfit                 1.5-9.11  2025-02-03 [1] CRAN (R 4.4.2)
 logger                 0.4.0     2024-10-22 [1] CRAN (R 4.4.2)
 lsa                  * 0.73.3    2022-05-09 [1] CRAN (R 4.4.2)
 lubridate            * 1.9.4     2024-12-08 [1] CRAN (R 4.4.2)
 magick                 2.8.5     2024-09-20 [1] CRAN (R 4.4.2)
 magrittr               2.0.3     2022-03-30 [1] CRAN (R 4.4.2)
 MASS                 * 7.3-64    2025-01-04 [4] CRAN (R 4.4.2)
 Matrix               * 1.7-2     2025-01-23 [4] CRAN (R 4.4.2)
 MatrixGenerics       * 1.18.1    2025-01-09 [1] Bioconductor 3.20 (R 4.4.2)
 matrixStats          * 1.5.0     2025-01-07 [1] CRAN (R 4.4.2)
 memoise                2.0.1     2021-11-26 [1] CRAN (R 4.4.2)
 mgcv                 * 1.9-1     2023-12-21 [4] CRAN (R 4.3.2)
 minpack.lm           * 1.2-4     2023-09-11 [1] CRAN (R 4.4.2)
 mixtools               2.0.0     2022-12-05 [1] CRAN (R 4.4.2)
 multcompView           0.1-10    2024-03-08 [1] CRAN (R 4.4.2)
 munsell                0.5.1     2024-04-01 [1] CRAN (R 4.4.2)
 mvtnorm                1.3-3     2025-01-10 [1] CRAN (R 4.4.2)
 nlme                 * 3.1-167   2025-01-27 [4] CRAN (R 4.4.2)
 OmnipathR            * 3.14.0    2024-10-29 [1] Bioconductor 3.20 (R 4.4.2)
 org.Hs.eg.db         * 3.20.0    2025-11-24 [1] Bioconductor
 parallelly             1.42.0    2025-01-30 [1] CRAN (R 4.4.2)
 patchwork              1.3.0     2024-09-16 [1] CRAN (R 4.4.2)
 pheatmap             * 1.0.12    2019-01-04 [1] CRAN (R 4.4.2)
 pillar                 1.10.1    2025-01-07 [1] CRAN (R 4.4.2)
 pkgconfig              2.0.3     2019-09-22 [1] CRAN (R 4.4.2)
 plotly                 4.10.4    2024-01-13 [1] CRAN (R 4.4.2)
 plyr                   1.8.9     2023-10-02 [1] CRAN (R 4.4.2)
 png                    0.1-8     2022-11-29 [1] CRAN (R 4.4.2)
 prettyunits            1.2.0     2023-09-24 [1] CRAN (R 4.4.2)
 progress               1.2.3     2023-12-06 [1] CRAN (R 4.4.2)
 proxy                  0.4-27    2022-06-09 [1] CRAN (R 4.4.2)
 purrr                * 1.0.4     2025-02-05 [1] CRAN (R 4.4.2)
 qpcR                 * 1.4-1     2018-06-14 [1] CRAN (R 4.4.2)
 qvalue                 2.38.0    2024-10-29 [1] Bioconductor 3.20 (R 4.4.2)
 R.methodsS3            1.8.2     2022-06-13 [1] CRAN (R 4.4.2)
 R.oo                   1.27.0    2024-11-01 [1] CRAN (R 4.4.2)
 R.utils                2.12.3    2023-11-18 [1] CRAN (R 4.4.2)
 R6                     2.6.1     2025-02-15 [1] CRAN (R 4.4.2)
 rappdirs               0.3.3     2021-01-31 [1] CRAN (R 4.4.2)
 RColorBrewer         * 1.1-3     2022-04-03 [1] CRAN (R 4.4.2)
 Rcpp                   1.0.14    2025-01-12 [1] CRAN (R 4.4.2)
 readr                * 2.1.5     2024-01-10 [1] CRAN (R 4.4.2)
 readxl                 1.4.3     2023-07-06 [1] CRAN (R 4.4.2)
 renv                 * 1.1.1     2025-02-07 [1] CRAN (R 4.4.2)
 reshape2             * 1.4.4     2020-04-09 [1] CRAN (R 4.4.2)
 rgl                  * 1.3.17    2025-01-17 [1] CRAN (R 4.4.2)
 rhdf5                  2.50.2    2025-01-09 [1] Bioconductor 3.20 (R 4.4.2)
 rhdf5filters           1.18.0    2024-10-29 [1] Bioconductor 3.20 (R 4.4.2)
 Rhdf5lib               1.28.0    2024-10-29 [1] Bioconductor 3.20 (R 4.4.2)
 rjson                  0.2.23    2024-09-16 [1] CRAN (R 4.4.2)
 rlang                  1.1.5     2025-01-17 [1] CRAN (R 4.4.2)
 rmarkdown              2.29      2024-11-04 [1] CRAN (R 4.4.2)
 rngtools             * 1.5.2     2021-09-20 [1] CRAN (R 4.4.2)
 robustbase           * 0.99-4-1  2024-09-27 [1] CRAN (R 4.4.2)
 RSQLite                2.3.9     2024-12-03 [1] CRAN (R 4.4.2)
 rstatix                0.7.2     2023-02-01 [1] CRAN (R 4.4.2)
 rstudioapi             0.17.1    2024-10-22 [1] CRAN (R 4.4.2)
 rsvd                   1.0.5     2021-04-16 [1] CRAN (R 4.4.2)
 rvest                  1.0.4     2024-02-12 [1] CRAN (R 4.4.2)
 S4Arrays               1.6.0     2024-10-29 [1] Bioconductor 3.20 (R 4.4.2)
 S4Vectors            * 0.44.0    2024-10-29 [1] Bioconductor 3.20 (R 4.4.2)
 ScaledMatrix           1.14.0    2024-10-29 [1] Bioconductor 3.20 (R 4.4.2)
 scales               * 1.3.0     2023-11-28 [1] CRAN (R 4.4.2)
 scatterplot3d          0.3-44    2023-05-05 [1] CRAN (R 4.4.2)
 segmented              2.1-3     2024-10-25 [1] CRAN (R 4.4.2)
 sessioninfo          * 1.2.3     2025-02-05 [1] CRAN (R 4.4.2)
 shape                  1.4.6.1   2024-02-23 [1] CRAN (R 4.4.2)
 SingleCellExperiment   1.28.1    2024-11-10 [1] Bioconductor 3.20 (R 4.4.2)
 SnowballC            * 0.7.1     2023-04-25 [1] CRAN (R 4.4.2)
 SparseArray            1.6.1     2025-01-19 [1] Bioconductor 3.20 (R 4.4.2)
 sparseMatrixStats      1.18.0    2024-10-29 [1] Bioconductor 3.20 (R 4.4.2)
 SpatialExperiment      1.16.0    2024-10-29 [1] Bioconductor 3.20 (R 4.4.2)
 statmod                1.5.0     2023-01-06 [1] CRAN (R 4.4.2)
 stringi                1.8.4     2024-05-06 [1] CRAN (R 4.4.2)
 stringr              * 1.5.1     2023-11-14 [1] CRAN (R 4.4.2)
 SummarizedExperiment * 1.36.0    2024-10-29 [1] Bioconductor 3.20 (R 4.4.2)
 survival               3.8-3     2024-12-17 [4] CRAN (R 4.4.2)
 sva                  * 3.54.0    2024-10-29 [1] Bioconductor 3.20 (R 4.4.2)
 tibble               * 3.2.1     2023-03-20 [1] CRAN (R 4.4.2)
 tidyr                * 1.3.1     2024-01-24 [1] CRAN (R 4.4.2)
 tidyselect             1.2.1     2024-03-11 [1] CRAN (R 4.4.2)
 tidytree               0.4.6     2023-12-12 [1] CRAN (R 4.4.2)
 tidyverse            * 2.0.0     2023-02-22 [1] CRAN (R 4.4.2)
 timechange             0.3.0     2024-01-18 [1] CRAN (R 4.4.2)
 treeio                 1.30.0    2024-10-29 [1] Bioconductor 3.20 (R 4.4.2)
 tzdb                   0.4.0     2023-05-12 [1] CRAN (R 4.4.2)
 UCSC.utils             1.2.0     2024-10-29 [1] Bioconductor 3.20 (R 4.4.2)
 vctrs                  0.6.5     2023-12-01 [1] CRAN (R 4.4.2)
 viper                * 1.40.0    2024-10-29 [1] Bioconductor 3.20 (R 4.4.2)
 viridis              * 0.6.5     2024-01-29 [1] CRAN (R 4.4.2)
 viridisLite          * 0.4.2     2023-05-02 [1] CRAN (R 4.4.2)
 withr                  3.0.2     2024-10-28 [1] CRAN (R 4.4.2)
 xfun                   0.51      2025-02-19 [1] CRAN (R 4.4.2)
 XML                  * 3.99-0.18 2025-01-01 [1] CRAN (R 4.4.2)
 xml2                   1.3.6     2023-12-04 [1] CRAN (R 4.4.2)
 xtable                 1.8-4     2019-04-21 [1] CRAN (R 4.4.2)
 XVector                0.46.0    2024-10-29 [1] Bioconductor 3.20 (R 4.4.2)
 yaml                 * 2.3.10    2024-07-26 [1] CRAN (R 4.4.2)
 yulab.utils            0.2.1     2025-08-19 [1] CRAN (R 4.4.2)
 zip                    2.3.2     2025-02-01 [1] CRAN (R 4.4.2)
 zlibbioc               1.52.0    2024-10-29 [1] Bioconductor 3.20 (R 4.4.2)

 [1] /home/hugo.chenel/R/x86_64-pc-linux-gnu-library/4.4
 [2] /usr/local/lib/R/site-library
 [3] /usr/lib/R/site-library
 [4] /usr/lib/R/library
 * ── Packages attached to the search path.

─────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
